country-p,condition,year,media_vct,num,phase,alpha3,continent
Spain-1,Breast Cancer,2010,1450.6666666666667,3,1,ESP,EU
France-1,Breast Cancer,2010,1659.0,2,1,FRA,EU
Netherlands-1,Breast Cancer,2010,670.5,2,1,NLD,EU
Belgium-2,Breast Cancer,2010,1263.5,4,2,BEL,EU
Denmark-2,Breast Cancer,2010,1856.5,2,2,DNK,EU
Spain-2,Breast Cancer,2010,1513.8,5,2,ESP,EU
France-2,Breast Cancer,2010,1562.4444444444443,9,2,FRA,EU
United Kingdom-2,Breast Cancer,2010,1506.5,2,2,GBR,EU
Italy-2,Breast Cancer,2010,1608.5,2,2,ITA,EU
Switzerland-3,Breast Cancer,2010,1740.0,2,3,CHE,EU
Germany-3,Breast Cancer,2010,1615.75,4,3,DEU,EU
Spain-3,Breast Cancer,2010,1680.0,2,3,ESP,EU
France-3,Breast Cancer,2010,1959.8333333333333,6,3,FRA,EU
Italy-3,Breast Cancer,2010,1724.5,2,3,ITA,EU
Netherlands-3,Breast Cancer,2010,1536.3333333333333,3,3,NLD,EU
Poland-3,Breast Cancer,2010,1680.0,2,3,POL,EU
Netherlands-1,Prostate Cancer,2010,1385.5,2,1,NLD,EU
Germany-2,Prostate Cancer,2010,806.5,2,2,DEU,EU
France-2,Prostate Cancer,2010,2330.5,2,2,FRA,EU
Belgium-3,Prostate Cancer,2010,2105.0,3,3,BEL,EU
Germany-3,Prostate Cancer,2010,2191.5,2,3,DEU,EU
Spain-3,Prostate Cancer,2010,2105.0,3,3,ESP,EU
Finland-3,Prostate Cancer,2010,2503.5,2,3,FIN,EU
France-3,Prostate Cancer,2010,2105.0,3,3,FRA,EU
United Kingdom-3,Prostate Cancer,2010,2191.5,2,3,GBR,EU
Hungary-3,Prostate Cancer,2010,1620.0,2,3,HUN,EU
Italy-3,Prostate Cancer,2010,2105.0,3,3,ITA,EU
Netherlands-3,Prostate Cancer,2010,2105.0,3,3,NLD,EU
Poland-3,Prostate Cancer,2010,2503.5,2,3,POL,EU
Sweden-3,Prostate Cancer,2010,1811.0,2,3,SWE,EU
Switzerland-2,Lung Cancer,2010,1536.5,2,2,CHE,EU
Germany-2,Melanoma,2010,1883.5,2,2,DEU,EU
Italy-2,Melanoma,2010,1883.5,2,2,ITA,EU
Netherlands-2,Melanoma,2010,1659.5,2,2,NLD,EU
United Kingdom-3,Melanoma,2010,1823.5,2,3,GBR,EU
