country,year,num,iso_alpha
Australia,2015,2,AUS
Australia,2016,2,AUS
Austria,2015,2,AUT
Austria,2016,2,AUT
Belgium,2015,2,BEL
Brazil,2015,2,BRA
Canada,2016,2,CAN
China,2013,2,CHN
China,2014,3,CHN
China,2015,2,CHN
China,2018,2,CHN
Denmark,2016,2,DNK
France,2015,2,FRA
France,2016,3,FRA
Germany,2015,2,DEU
Germany,2016,2,DEU
Greece,2015,2,GRC
Israel,2015,2,ISR
Italy,2015,2,ITA
Italy,2016,2,ITA
Japan,2015,2,JPN
"Korea, Republic of",2015,2,KOR
Poland,2015,2,POL
Romania,2015,2,ROU
Russian Federation,2015,2,RUS
Spain,2015,2,ESP
Spain,2016,2,ESP
Switzerland,2015,2,CHE
"Taiwan, Province of China",2015,2,TWN
United Kingdom,2015,2,GBR
United States,2015,2,USA
United States,2016,2,USA
United States,2017,2,USA
