country-p,country,continent,year,media_vct,num,phase,alpha3
Afghanistan-1,Afghanistan,AS,2010,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2011,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2012,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2013,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2014,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2015,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2016,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2017,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2018,0,0,1,AFG
Afghanistan-1,Afghanistan,AS,2019,0,0,1,AFG
Afghanistan-2,Afghanistan,AS,2010,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2011,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2012,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2013,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2014,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2015,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2016,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2017,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2018,0,0,2,AFG
Afghanistan-2,Afghanistan,AS,2019,0,0,2,AFG
Afghanistan-3,Afghanistan,AS,2010,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2011,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2012,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2013,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2014,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2015,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2016,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2017,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2018,0,0,3,AFG
Afghanistan-3,Afghanistan,AS,2019,0,0,3,AFG
Armenia-1,Armenia,AS,2010,0,0,1,ARM
Armenia-1,Armenia,AS,2011,0,0,1,ARM
Armenia-1,Armenia,AS,2012,0,0,1,ARM
Armenia-1,Armenia,AS,2013,0,0,1,ARM
Armenia-1,Armenia,AS,2014,0,0,1,ARM
Armenia-1,Armenia,AS,2015,0,0,1,ARM
Armenia-1,Armenia,AS,2016,0,0,1,ARM
Armenia-1,Armenia,AS,2017,0,0,1,ARM
Armenia-1,Armenia,AS,2018,0,0,1,ARM
Armenia-1,Armenia,AS,2019,0,0,1,ARM
Armenia-2,Armenia,AS,2010,0,0,2,ARM
Armenia-2,Armenia,AS,2011,0,0,2,ARM
Armenia-2,Armenia,AS,2012,0,0,2,ARM
Armenia-2,Armenia,AS,2013,0,0,2,ARM
Armenia-2,Armenia,AS,2014,0,0,2,ARM
Armenia-2,Armenia,AS,2015,0,0,2,ARM
Armenia-2,Armenia,AS,2016,0,0,2,ARM
Armenia-2,Armenia,AS,2017,832.0,1,2,ARM
Armenia-2,Armenia,AS,2018,0,0,2,ARM
Armenia-2,Armenia,AS,2019,0,0,2,ARM
Armenia-3,Armenia,AS,2010,0,0,3,ARM
Armenia-3,Armenia,AS,2011,0,0,3,ARM
Armenia-3,Armenia,AS,2012,0,0,3,ARM
Armenia-3,Armenia,AS,2013,0,0,3,ARM
Armenia-3,Armenia,AS,2014,0,0,3,ARM
Armenia-3,Armenia,AS,2015,0,0,3,ARM
Armenia-3,Armenia,AS,2016,0,0,3,ARM
Armenia-3,Armenia,AS,2017,0,0,3,ARM
Armenia-3,Armenia,AS,2018,0,0,3,ARM
Armenia-3,Armenia,AS,2019,0,0,3,ARM
Azerbaijan-1,Azerbaijan,AS,2010,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2011,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2012,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2013,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2014,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2015,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2016,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2017,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2018,0,0,1,AZE
Azerbaijan-1,Azerbaijan,AS,2019,0,0,1,AZE
Azerbaijan-2,Azerbaijan,AS,2010,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2011,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2012,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2013,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2014,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2015,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2016,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2017,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2018,0,0,2,AZE
Azerbaijan-2,Azerbaijan,AS,2019,0,0,2,AZE
Azerbaijan-3,Azerbaijan,AS,2010,0,0,3,AZE
Azerbaijan-3,Azerbaijan,AS,2011,0,0,3,AZE
Azerbaijan-3,Azerbaijan,AS,2012,0,0,3,AZE
Azerbaijan-3,Azerbaijan,AS,2013,0,0,3,AZE
Azerbaijan-3,Azerbaijan,AS,2014,0,0,3,AZE
Azerbaijan-3,Azerbaijan,AS,2015,0,0,3,AZE
Azerbaijan-3,Azerbaijan,AS,2016,0,0,3,AZE
