country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,1-1-1952,28.801,8425333,7.794.453.145,AFG,4
Afghanistan,Asia,1-2-1952,30.331.999.999.999.900,9240934,8.208.530.296,AFG,4
Afghanistan,Asia,1-3-1952,31.997,10267083,8.531.007.099.999.990,AFG,4
Afghanistan,Asia,1-4-1952,34.02,11537966,8.361.971.382,AFG,4
Afghanistan,Asia,1-5-1952,36.088,13079460,7.399.811.057.999.990,AFG,4
Afghanistan,Asia,1-1-1977,38.438,14880372,78.611.336,AFG,4
Afghanistan,Asia,1-1-1982,39.854,12881816,9.780.114.388.000.000,AFG,4
Afghanistan,Asia,1-1-1987,40.821.999.999.999.900,13867957,8.523.959.447.999.990,AFG,4
Afghanistan,Asia,1-1-1992,41.674,16317921,6.493.413.952.000.000,AFG,4
Afghanistan,Asia,1-1-1997,41.763.000.000.000.000,22227415,635.341.351,AFG,4
Afghanistan,Asia,1-1-2002,42.129,25268405,7.267.340.548,AFG,4
Afghanistan,Asia,1-1-2007,43.828,31889923,9.745.803.384,AFG,4
Albania,Europe,1952,55.23,1282697,1.601.056.136,ALB,8
Albania,Europe,1957,59.28,1476505,19.422.842.440.000.000,ALB,8
Albania,Europe,1962,64.82,1728137,2.312.888.958,ALB,8
Albania,Europe,1967,66.22,1984060,2.760.196.931,ALB,8
Albania,Europe,1972,67.69,2263554,3.313.422.188,ALB,8
Albania,Europe,1977,68.93,2509048,35.330.039.100.000.000,ALB,8
Albania,Europe,1982,70.42,2780097,3.630.880.722,ALB,8
Albania,Europe,1987,72.0,3075321,37.389.327.350.000.000,ALB,8
Albania,Europe,1992,71.581,3326498,24.974.379.010.000.000,ALB,8
Albania,Europe,1997,72.95,3428038,3.193.054.604,ALB,8
Albania,Europe,2002,7.565.100.000.000.000,3508512,4.604.211.737,ALB,8
Albania,Europe,2007,76.423,3600523,5.937.029.525.999.990,ALB,8
Algeria,Africa,1952,43.077,9279525,2.449.008.185,DZA,12
Algeria,Africa,1957,45.685,10270856,3.013.976.023,DZA,12
Algeria,Africa,1962,48.303.000.000.000.000,11000948,255.081.688,DZA,12
Algeria,Africa,1967,51.407,12760499,3.246.991.771,DZA,12
Algeria,Africa,1972,54.518,14760787,4.182.663.766,DZA,12
Algeria,Africa,1977,58.013.999.999.999.900,17152804,49.104.167.560.000.000,DZA,12
Algeria,Africa,1982,61.368,20033753,5.745.160.213,DZA,12
Algeria,Africa,1987,6.579.899.999.999.990,23254956,5.681.358.539,DZA,12
Algeria,Africa,1992,67.744,26298373,5.023.216.647,DZA,12
Algeria,Africa,1997,69.152,29072015,4.797.295.051,DZA,12
Algeria,Africa,2002,70.994,31287142,5.288.040.382,DZA,12
Algeria,Africa,2007,72.301,33333216,6.223.367.465,DZA,12
Angola,Africa,1952,30.015,4232095,3.520.610.273,AGO,24
Angola,Africa,1957,31.999.000.000.000.000,4561361,38.279.404.649.999.900,AGO,24
Angola,Africa,1962,34.0,4826015,4.269.276.742,AGO,24
Angola,Africa,1967,35.985,5247469,5.522.776.375,AGO,24
Angola,Africa,1972,37.928.000.000.000.000,5894858,5.473.288.004.999.990,AGO,24
Angola,Africa,1977,39.483.000.000.000.000,6162675,3.008.647.355,AGO,24
Angola,Africa,1982,39.942,7016384,2.756.953.672,AGO,24
Angola,Africa,1987,39.906,7874230,2.430.208.311,AGO,24
Angola,Africa,1992,40.647,8735988,26.278.456.850.000.000,AGO,24
Angola,Africa,1997,40.963,9875024,2.277.140.884,AGO,24
Angola,Africa,2002,41.003,10866106,2.773.287.312,AGO,24
Angola,Africa,2007,42.731,12420476,4.797.231.267,AGO,24
Argentina,Americas,1952,62.485,17876956,5.911.315.053,ARG,32
Argentina,Americas,1957,64.399,19610538,6.856.856.212.000.000,ARG,32
Argentina,Americas,1962,65.142,21283783,7.133.166.023.000.000,ARG,32
Argentina,Americas,1967,65.634,22934225,8.052.953.020.999.990,ARG,32
Argentina,Americas,1972,67.065,24779799,9.443.038.526,ARG,32
Argentina,Americas,1977,6.848.100.000.000.000,26983828,10.079.026.740.000.000,ARG,32
Argentina,Americas,1982,69.942,29341374,8.997.897.412,ARG,32
Argentina,Americas,1987,70.774,31620918,9.139.671.389,ARG,32
Argentina,Americas,1992,71.868,33958947,930.841.871,ARG,32
Argentina,Americas,1997,73.275,36203463,1.096.728.195,ARG,32
Argentina,Americas,2002,74.34,38331121,8.797.640.716,ARG,32
Argentina,Americas,2007,75.32,40301927,12.779.379.640.000.000,ARG,32
Australia,Oceania,1952,69.12,8691212,10.039.595.640.000.000,AUS,36
Australia,Oceania,1957,70.33,9712569,1.094.964.959,AUS,36
Australia,Oceania,1962,70.93,10794968,12.217.226.859.999.900,AUS,36
Australia,Oceania,1967,71.1,11872264,1.452.612.465,AUS,36
Australia,Oceania,1972,71.93,13177000,1.678.862.948,AUS,36
Australia,Oceania,1977,73.49,14074100,18.334.197.509.999.900,AUS,36
Australia,Oceania,1982,74.74,15184200,19.477.009.280.000.000,AUS,36
Australia,Oceania,1987,76.32,16257249,21.888.889.030.000.000,AUS,36
Australia,Oceania,1992,77.56,17481977,2.342.476.683,AUS,36
Australia,Oceania,1997,78.83,18565243,26.997.936.569.999.900,AUS,36
Australia,Oceania,2002,80.37,19546792,3.068.775.473,AUS,36
Australia,Oceania,2007,81.235,20434176,34.435.367.439.999.900,AUS,36
Austria,Europe,1952,66.8,6927772,6.137.076.492,AUT,40
Austria,Europe,1957,67.48,6965860,884.259.803,AUT,40
Austria,Europe,1962,69.54,7129864,10.750.721.109.999.900,AUT,40
Austria,Europe,1967,70.14,7376998,128.346.024,AUT,40
Austria,Europe,1972,70.63,7544201,166.616.256,AUT,40
Austria,Europe,1977,72.17,7568430,197.494.223,AUT,40
