country,year,num,iso_alpha
United Arab Emirates,01-1-2019,0,ARE
United Arab Emirates,01-2-2019,0,ARE
United Arab Emirates,01-3-2019,0,ARE
United Arab Emirates,01-4-2019,1,ARE
United Arab Emirates,01-5-2019,0,ARE
United Arab Emirates,01-6-2019,0,ARE
United Arab Emirates,01-7-2019,0,ARE
United Arab Emirates,01-8-2019,1,ARE
United Arab Emirates,01-9-2019,0,ARE
United Arab Emirates,01-10-2019,0,ARE
United Arab Emirates,01-11-2019,0,ARE
United Arab Emirates,01-12-2019,0,ARE
Argentina,01-1-2019,2,ARG
Argentina,01-2-2019,1,ARG
Argentina,01-3-2019,3,ARG
Argentina,01-4-2019,8,ARG
Argentina,01-5-2019,5,ARG
Argentina,01-6-2019,10,ARG
Argentina,01-7-2019,2,ARG
Argentina,01-8-2019,1,ARG
Argentina,01-9-2019,3,ARG
Argentina,01-10-2019,3,ARG
Argentina,01-11-2019,2,ARG
Argentina,01-12-2019,2,ARG
Australia,01-1-2019,12,AUS
Australia,01-2-2019,12,AUS
Australia,01-3-2019,12,AUS
Australia,01-4-2019,10,AUS
Australia,01-5-2019,10,AUS
Australia,01-6-2019,19,AUS
Australia,01-7-2019,17,AUS
Australia,01-8-2019,11,AUS
Australia,01-9-2019,10,AUS
Australia,01-10-2019,6,AUS
Australia,01-11-2019,12,AUS
Australia,01-12-2019,15,AUS
Austria,01-1-2019,5,AUT
Austria,01-2-2019,5,AUT
Austria,01-3-2019,2,AUT
Austria,01-4-2019,6,AUT
Austria,01-5-2019,6,AUT
Austria,01-6-2019,6,AUT
Austria,01-7-2019,3,AUT
Austria,01-8-2019,3,AUT
Austria,01-9-2019,5,AUT
Austria,01-10-2019,2,AUT
Austria,01-11-2019,5,AUT
Austria,01-12-2019,3,AUT
Belgium,01-1-2019,11,BEL
Belgium,01-2-2019,6,BEL
Belgium,01-3-2019,11,BEL
Belgium,01-4-2019,11,BEL
Belgium,01-5-2019,9,BEL
Belgium,01-6-2019,11,BEL
Belgium,01-7-2019,10,BEL
Belgium,01-8-2019,8,BEL
Belgium,01-9-2019,8,BEL
Belgium,01-10-2019,5,BEL
Belgium,01-11-2019,6,BEL
Belgium,01-12-2019,8,BEL
Bulgaria,01-1-2019,4,BGR
Bulgaria,01-2-2019,1,BGR
Bulgaria,01-3-2019,3,BGR
Bulgaria,01-4-2019,1,BGR
Bulgaria,01-5-2019,1,BGR
Bulgaria,01-6-2019,0,BGR
Bulgaria,01-7-2019,0,BGR
Bulgaria,01-8-2019,2,BGR
Bulgaria,01-9-2019,0,BGR
Bulgaria,01-10-2019,1,BGR
Bulgaria,01-11-2019,2,BGR
Bulgaria,01-12-2019,1,BGR
Bosnia and Herzegovina,01-1-2019,0,BIH
Bosnia and Herzegovina,01-2-2019,0,BIH
Bosnia and Herzegovina,01-3-2019,0,BIH
Bosnia and Herzegovina,01-4-2019,0,BIH
Bosnia and Herzegovina,01-5-2019,0,BIH
Bosnia and Herzegovina,01-6-2019,0,BIH
Bosnia and Herzegovina,01-7-2019,0,BIH
Bosnia and Herzegovina,01-8-2019,0,BIH
Bosnia and Herzegovina,01-9-2019,1,BIH
Bosnia and Herzegovina,01-10-2019,0,BIH
Bosnia and Herzegovina,01-11-2019,0,BIH
Bosnia and Herzegovina,01-12-2019,1,BIH
Belarus,01-1-2019,1,BLR
Belarus,01-2-2019,0,BLR
Belarus,01-3-2019,0,BLR
Belarus,01-4-2019,0,BLR
Belarus,01-5-2019,0,BLR
Belarus,01-6-2019,1,BLR
Belarus,01-7-2019,1,BLR
Belarus,01-8-2019,1,BLR
Belarus,01-9-2019,0,BLR
Belarus,01-10-2019,0,BLR
Belarus,01-11-2019,1,BLR
Belarus,01-12-2019,0,BLR
Brazil,01-1-2019,7,BRA
Brazil,01-2-2019,1,BRA
Brazil,01-3-2019,6,BRA
Brazil,01-4-2019,6,BRA
Brazil,01-5-2019,6,BRA
Brazil,01-6-2019,7,BRA
Brazil,01-7-2019,3,BRA
Brazil,01-8-2019,1,BRA
Brazil,01-9-2019,8,BRA
Brazil,01-10-2019,3,BRA
Brazil,01-11-2019,3,BRA
Brazil,01-12-2019,5,BRA
Canada,01-1-2019,22,CAN
Canada,01-2-2019,14,CAN
Canada,01-3-2019,17,CAN
Canada,01-4-2019,16,CAN
Canada,01-5-2019,17,CAN
Canada,01-6-2019,20,CAN
Canada,01-7-2019,11,CAN
Canada,01-8-2019,6,CAN
Canada,01-9-2019,15,CAN
Canada,01-10-2019,12,CAN
Canada,01-11-2019,9,CAN
Canada,01-12-2019,13,CAN
Switzerland,01-1-2019,2,CHE
Switzerland,01-2-2019,1,CHE
Switzerland,01-3-2019,5,CHE
Switzerland,01-4-2019,3,CHE
Switzerland,01-5-2019,6,CHE
Switzerland,01-6-2019,4,CHE
Switzerland,01-7-2019,4,CHE
Switzerland,01-8-2019,5,CHE
Switzerland,01-9-2019,3,CHE
Switzerland,01-10-2019,3,CHE
Switzerland,01-11-2019,2,CHE
Switzerland,01-12-2019,1,CHE
Chile,01-1-2019,2,CHL
Chile,01-2-2019,3,CHL
Chile,01-3-2019,2,CHL
Chile,01-4-2019,4,CHL
Chile,01-5-2019,3,CHL
Chile,01-6-2019,3,CHL
Chile,01-7-2019,2,CHL
Chile,01-8-2019,2,CHL
Chile,01-9-2019,2,CHL
Chile,01-10-2019,1,CHL
Chile,01-11-2019,0,CHL
Chile,01-12-2019,2,CHL
China,01-1-2019,67,CHN
China,01-2-2019,33,CHN
China,01-3-2019,69,CHN
China,01-4-2019,74,CHN
China,01-5-2019,56,CHN
China,01-6-2019,59,CHN
China,01-7-2019,73,CHN
China,01-8-2019,42,CHN
China,01-9-2019,43,CHN
China,01-10-2019,44,CHN
China,01-11-2019,50,CHN
China,01-12-2019,57,CHN
Colombia,01-1-2019,1,COL
Colombia,01-2-2019,0,COL
Colombia,01-3-2019,1,COL
Colombia,01-4-2019,1,COL
